Artist ID,Artist Name,Track ID,Track Name,Popularity Score
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,3g4UyIcQwutiG0TfW32GnX,Esclavo de Tus Besos,90
6LuN9FCkKOj5PcnpouEgny,Khalid,29uWfSrklmIxzRIqFFK9jj,Self,81
23fqKkggKUBHNkbKtXEls4,Kygo,3Kuu5vASpXK8oRsxOvau6P,Think About You,84
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,5FxKZ4IajYIRDjAWAboiB4,Pimpin Ain't Eazy,76
2FXC3k01G6Gw61bmprjgqS,Hozier,5Apvsk0suoivI1H8CmBglv,Almost (Sweet Music),76
246dkjvS1zLTtiykXe5h60,Post Malone,7dbka99KTWke5o9hRp0JoB,Sunflower - Spider-Man: Into the Spider-Verse,81
6s22t5Y3prQHyaHWUN1R1C,AJR,59NBECAQ5tXNmtKbRFcYil,100 Bad Days,74
4ehtJnVumNf6xzSCDk8aLB,Martin Jensen,2qfEcCkEo5NscA9GL7ER72,Nobody,82
26VFTg2z8YR0cCuwLzESi2,Halsey,6Zc5f20q7sOe1IC1c1jQvZ,Without Me (with Juice WRLD),78
6y8XlgIV8BLlIg1tT1R10i,Old Dominion,7C6JnGZRj0HMIF06rlz9Mb,Make It Sweet,75
7DuTB6wdzqFJGFLSH17k8e,Bhad Bhabie,0jtTDKt1FRTnKbWtWSGLoy,Bestie (feat. Kodak Black),79
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,7MKNP9GEcCj4Vcfw3IerQ6,Old Town Road,75
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,4pCEIQ6wBVuaJdER5bALtO,That's A Rack,66
17lzZA2AlOHwCwFALHttmp,2 Chainz,1R6VwZ8TuHRzxZUxe88n4I,Rule The World (feat. Ariana Grande),78
3wyVrVrFCkukjdVIdirGVY,Lil Pump,4NdXQlDTzxbOMkzJGWFtz3,Butterfly Doors,79
7d3WFRME3vBY2cgoP38RDo,Lil Skies,0Qd2KYCmwGYiTF3A0opS6b,Real Ties,77
6y8XlgIV8BLlIg1tT1R10i,Old Dominion,3ksmU0DaEUMEVzx5V6cc3z,One Man Band,75
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,4dOmgE4ULbySxpeGObN8RL,Syphilis,76
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,7tGEAA1f8MydT7eVbbO9Zy,WHEN I WAS OLDER - Music Inspired By The Film ROMA,80
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,6oV5zsbz9V2nZ79PYam9yC,Shotta Flow 2,75
1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,4gJUBncw0XCMTBHneTjqGx,Like Mike (feat. Jay Critch & A Boogie wit da Hoodie),76
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,572BChNcXOIvtfn2TGmTKc,ON GOD (feat. Young Thug),76
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,0baYVkFX4vIXXmIuHRWXDN,Out My Way,75
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,59ywHNwwchG4nZJMLyxSzd,Clout (feat. Cardi B),77
