Artist Name,Track Name,Genre,Popularity Score
Ariana Grande,fake smile,post-teen pop,86
Khalid,Heaven,pop,76
Anuel Aa,Secreto,reggaeton flow,95
Anuel Aa,Secreto,trap latino,95
Khalid,Self,pop,76
FLETCHER,Undrunk,electropop,86
FLETCHER,Undrunk,indie cafe pop,86
FLETCHER,Undrunk,indie poptimism,86
FLETCHER,Undrunk,pop,86
Khalid,Saturday Nights,pop,75
Khalid,Don't Pretend,pop,76
Marshmello,Project Dreams,brostep,85
Marshmello,Project Dreams,egyptian pop,85
Marshmello,Project Dreams,progressive electro house,85
Rich The Kid,Splashin,atl hip hop,83
Rich The Kid,Splashin,pop,83
Rich The Kid,Splashin,pop rap,83
Rich The Kid,Splashin,rap,83
Rich The Kid,Splashin,southern hip hop,83
Rich The Kid,Splashin,trap music,83
Bebe Rexha,Last Hurrah,dance pop,89
Bebe Rexha,Last Hurrah,pop,89
Bebe Rexha,Last Hurrah,post-teen pop,89
Tory Lanez,Freaky,canadian hip hop,85
Tory Lanez,Freaky,hip hop,85
Tory Lanez,Freaky,pop,85
Tory Lanez,Freaky,pop rap,85
Tory Lanez,Freaky,r&b,85
Tory Lanez,Freaky,rap,85
Tory Lanez,Freaky,southern hip hop,85
Tory Lanez,Freaky,trap music,85
Polo G,Pop Out (feat. Lil TJay),chicago rap,83
Polo G,Pop Out (feat. Lil TJay),vapor trap,83
Juice WRLD,Maze,chicago rap,83
YK Osiris,Worth It,deep pop r&b,83
YK Osiris,Worth It,trap music,83
Blueface,Bleed It,cali rap,82
Blueface,Bleed It,trap music,82
Ariana Grande,ghostin,dance pop,85
Ariana Grande,ghostin,pop,85
Ariana Grande,ghostin,post-teen pop,85
NLE Choppa,Shotta Flow,vapor trap,81
ScHoolboy Q,Numb Numb Juice,gangster rap,83
ScHoolboy Q,Numb Numb Juice,hip hop,83
ScHoolboy Q,Numb Numb Juice,pop,83
ScHoolboy Q,Numb Numb Juice,pop rap,83
ScHoolboy Q,Numb Numb Juice,rap,83
ScHoolboy Q,Numb Numb Juice,southern hip hop,83
